City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulladulla,-35.35,150.4667,23.2,70,32,4.39,AU,1705904145
1,waitangi,-43.9535,-176.5597,18.79,92,100,4.92,NZ,1705904145
2,afaahiti,-17.75,-149.2833,22.93,81,100,7.91,PF,1705904146
3,konosha,60.9736,40.257,-10.83,92,100,4.35,RU,1705904146
4,jamestown,42.097,-79.2353,-12.55,93,0,3.09,US,1705904128
5,juneau,58.3019,-134.4197,-6.61,100,100,3.36,US,1705904148
6,port-aux-francais,-49.35,70.2167,5.72,81,60,12.75,TF,1705904148
7,magadan,59.5667,150.8,-29.71,99,68,1.75,RU,1705904149
8,uturoa,-16.7333,-151.4333,27.27,77,99,3.29,PF,1705904149
9,hithadhoo,-0.6,73.0833,28.61,73,12,3.05,MV,1705904150
10,ta`u,-14.2336,-169.5144,28.98,71,64,3.53,AS,1705904151
11,adamstown,-25.066,-130.1015,24.38,85,100,5.45,PN,1705904151
12,ushuaia,-54.8,-68.3,6.49,96,99,2.13,AR,1705903926
13,invercargill,-46.4,168.35,20.57,72,78,4.47,NZ,1705903992
14,lompoc,34.6391,-120.4579,14.87,76,100,8.23,US,1705904153
15,voranava,54.1483,25.3131,-3.56,87,100,8.38,BY,1705904154
16,dudinka,69.4058,86.1778,-10.18,95,100,4.02,RU,1705904154
17,matoury,4.8483,-52.3317,25.98,89,0,3.6,GF,1705904155
18,coquimbo,-29.9533,-71.3436,15.85,94,100,1.54,CL,1705903996
19,ancud,-41.8697,-73.8203,12.77,83,0,1.16,CL,1705904156
20,port elizabeth,-33.918,25.5701,23.05,82,40,6.17,ZA,1705904156
21,kyren,51.6828,102.1408,-10.03,69,22,0.45,RU,1705904158
22,edinburgh of the seven seas,-37.0676,-12.3116,19.0,83,23,9.78,SH,1705904158
23,iqaluit,63.7506,-68.5145,-21.84,69,40,2.06,CA,1705904159
24,youghal,51.95,-7.8506,5.86,94,34,9.97,IE,1705904159
25,el fasher,13.6279,25.3494,17.6,16,68,1.23,SD,1705904160
26,broken hill,-31.95,141.4333,31.28,17,0,5.08,AU,1705904078
27,turabah,21.2141,41.6331,19.33,35,0,6.17,SA,1705904161
28,puerto natales,-51.7236,-72.4875,13.81,78,80,4.99,CL,1705904162
29,zhezqazghan,47.7833,67.7667,-16.68,78,0,6.0,KZ,1705904162
30,east london,-33.0153,27.9116,25.52,69,40,8.23,ZA,1705904163
31,mili,6.0815,171.735,27.92,80,70,8.51,MH,1705904163
32,quellon,-43.1167,-73.6167,13.09,91,0,4.54,CL,1705904164
33,bilibino,68.0546,166.4372,-15.92,98,100,0.64,RU,1705904165
34,isangel,-19.55,169.2667,30.06,79,75,2.57,VU,1705904165
35,prado,-17.3411,-39.2208,24.11,94,100,2.67,BR,1705904166
36,thompson,55.7435,-97.8558,-20.91,77,0,3.09,CA,1705904166
37,kayangel,8.0823,134.7173,27.8,75,92,8.69,PW,1705904167
38,grytviken,-54.2811,-36.5092,1.16,98,85,0.94,GS,1705904167
39,yellowknife,62.456,-114.3525,-33.71,68,20,2.06,CA,1705904168
40,chonchi,-42.6128,-73.8092,15.62,89,0,2.34,CL,1705904169
41,ribeira grande,38.5167,-28.7,17.65,95,67,7.15,PT,1705904169
42,lihue,21.9789,-159.3672,21.09,89,75,0.0,US,1705904170
43,blackmans bay,-43.0167,147.3167,14.18,60,79,4.31,AU,1705904171
44,howrah,22.5892,88.3103,16.0,77,40,2.06,IN,1705904171
45,pizarro,4.9533,-77.366,25.84,90,18,1.13,CO,1705904172
46,kiffa,16.6166,-11.4045,21.03,9,97,4.7,MR,1705904172
47,preobrazheniye,42.9019,133.9064,-5.18,79,99,5.06,RU,1705904173
48,hermanus,-34.4187,19.2345,18.49,85,100,7.25,ZA,1705904174
49,mokhsogollokh,61.4681,128.9203,-25.76,98,100,2.0,RU,1705904174
50,rio blanco,18.8333,-97.15,15.78,99,100,0.97,MX,1705904175
51,olonkinbyen,70.9221,-8.7187,-2.67,92,100,5.57,SJ,1705904175
52,talnakh,69.4865,88.3972,-10.44,94,100,4.26,RU,1705904176
53,whitehorse,60.7161,-135.0538,-21.84,83,100,1.54,CA,1705903988
54,mejit,10.2753,170.8646,26.6,78,91,9.01,MH,1705904178
55,papatowai,-46.5619,169.4708,19.3,71,61,2.24,NZ,1705904178
56,chiquimulilla,14.0858,-90.3767,22.06,65,20,2.95,GT,1705904179
57,cururupu,-1.8283,-44.8683,24.93,93,44,1.71,BR,1705904180
58,usol'ye,59.4268,56.6808,-15.99,94,100,3.31,RU,1705904180
59,lebu,-37.6167,-73.65,13.3,92,7,4.84,CL,1705904181
